16:35:33.465 -> Raw sensor readings from photoresistor
16:35:35.160 -> Photoresistor Raw Output = 227
16:35:35.200 -> Photoresistor Raw Output = 226
16:35:35.240 -> Photoresistor Raw Output = 227
16:35:35.280 -> Photoresistor Raw Output = 227
16:35:35.320 -> Photoresistor Raw Output = 227
16:35:35.400 -> Photoresistor Raw Output = 227
16:35:35.440 -> Photoresistor Raw Output = 227
16:35:35.480 -> Photoresistor Raw Output = 227
16:35:35.520 -> Photoresistor Raw Output = 226
16:35:35.600 -> Photoresistor Raw Output = 226
16:35:35.640 -> Photoresistor Raw Output = 225
16:35:35.680 -> Photoresistor Raw Output = 224
16:35:35.760 -> Photoresistor Raw Output = 224
16:35:35.795 -> Photoresistor Raw Output = 224
16:35:35.835 -> Photoresistor Raw Output = 224
16:35:35.875 -> Photoresistor Raw Output = 224
16:35:35.955 -> Photoresistor Raw Output = 225
16:35:35.995 -> Photoresistor Raw Output = 225
16:35:36.035 -> Photoresistor Raw Output = 226
16:35:36.075 -> Photoresistor Raw Output = 227
16:35:36.155 -> Photoresistor Raw Output = 227
16:35:36.195 -> Photoresistor Raw Output = 227
16:35:36.235 -> Photoresistor Raw Output = 227
16:35:36.315 -> Photoresistor Raw Output = 227
16:35:36.355 -> Photoresistor Raw Output = 226
16:35:36.395 -> Photoresistor Raw Output = 225
16:35:36.435 -> Photoresistor Raw Output = 225
16:35:36.515 -> Photoresistor Raw Output = 224
16:35:36.555 -> Photoresistor Raw Output = 224
16:35:36.595 -> Photoresistor Raw Output = 223
16:35:36.635 -> Photoresistor Raw Output = 224
16:35:36.715 -> Photoresistor Raw Output = 224
16:35:36.755 -> Photoresistor Raw Output = 225
16:35:36.795 -> Photoresistor Raw Output = 226
16:35:36.835 -> Photoresistor Raw Output = 226
16:35:36.915 -> Photoresistor Raw Output = 227
16:35:36.955 -> Photoresistor Raw Output = 227
16:35:36.995 -> Photoresistor Raw Output = 227
16:35:37.035 -> Photoresistor Raw Output = 227
16:35:37.115 -> Photoresistor Raw Output = 226
16:35:37.155 -> Photoresistor Raw Output = 225
16:35:37.195 -> Photoresistor Raw Output = 225
16:35:37.235 -> Photoresistor Raw Output = 224
16:35:37.315 -> Photoresistor Raw Output = 224
16:35:37.355 -> Photoresistor Raw Output = 224
16:35:37.395 -> Photoresistor Raw Output = 223
16:35:37.475 -> Photoresistor Raw Output = 224
16:35:37.515 -> Photoresistor Raw Output = 224
16:35:37.555 -> Photoresistor Raw Output = 225
16:35:37.595 -> Photoresistor Raw Output = 226
16:35:37.675 -> Photoresistor Raw Output = 226
16:35:37.715 -> Photoresistor Raw Output = 227
16:35:37.755 -> Photoresistor Raw Output = 227
16:35:37.830 -> Photoresistor Raw Output = 227
16:35:37.870 -> Photoresistor Raw Output = 226
16:35:37.910 -> Photoresistor Raw Output = 225
16:35:37.950 -> Photoresistor Raw Output = 225
16:35:38.030 -> Photoresistor Raw Output = 224
16:35:38.070 -> Photoresistor Raw Output = 223
16:35:38.110 -> Photoresistor Raw Output = 223
16:35:38.150 -> Photoresistor Raw Output = 223
16:35:38.230 -> Photoresistor Raw Output = 223
16:35:38.270 -> Photoresistor Raw Output = 223
16:35:38.310 -> Photoresistor Raw Output = 224
16:35:38.350 -> Photoresistor Raw Output = 225
16:35:38.430 -> Photoresistor Raw Output = 226
16:35:38.470 -> Photoresistor Raw Output = 227
16:35:38.510 -> Photoresistor Raw Output = 227
16:35:38.590 -> Photoresistor Raw Output = 228
16:35:38.630 -> Photoresistor Raw Output = 228
16:35:38.670 -> Photoresistor Raw Output = 227
16:35:38.710 -> Photoresistor Raw Output = 226
16:35:38.790 -> Photoresistor Raw Output = 226
16:35:38.830 -> Photoresistor Raw Output = 225
16:35:38.870 -> Photoresistor Raw Output = 224
16:35:38.920 -> Photoresistor Raw Output = 224
16:35:38.960 -> Photoresistor Raw Output = 223
16:35:39.040 -> Photoresistor Raw Output = 224
16:35:39.080 -> Photoresistor Raw Output = 224
16:35:39.120 -> Photoresistor Raw Output = 224
16:35:39.160 -> Photoresistor Raw Output = 225
16:35:39.240 -> Photoresistor Raw Output = 226
16:35:39.280 -> Photoresistor Raw Output = 226
16:35:39.320 -> Photoresistor Raw Output = 226
16:35:39.360 -> Photoresistor Raw Output = 227
16:35:39.440 -> Photoresistor Raw Output = 226
16:35:39.480 -> Photoresistor Raw Output = 226
16:35:39.520 -> Photoresistor Raw Output = 225
16:35:39.560 -> Photoresistor Raw Output = 225
16:35:39.640 -> Photoresistor Raw Output = 225
16:35:39.680 -> Photoresistor Raw Output = 224
16:35:39.720 -> Photoresistor Raw Output = 224
16:35:39.795 -> Photoresistor Raw Output = 225
16:35:39.830 -> Photoresistor Raw Output = 225
16:35:39.870 -> Photoresistor Raw Output = 226
16:35:39.950 -> Photoresistor Raw Output = 226
16:35:39.990 -> Photoresistor Raw Output = 227
16:35:40.030 -> Photoresistor Raw Output = 228
16:35:40.070 -> Photoresistor Raw Output = 228
16:35:40.150 -> Photoresistor Raw Output = 228
16:35:40.191 -> Photoresistor Raw Output = 228
16:35:40.230 -> Photoresistor Raw Output = 228
16:35:40.270 -> Photoresistor Raw Output = 227
16:35:40.350 -> Photoresistor Raw Output = 227
16:35:40.390 -> Photoresistor Raw Output = 225
16:35:40.430 -> Photoresistor Raw Output = 221
16:35:40.510 -> Photoresistor Raw Output = 195
16:35:40.550 -> Photoresistor Raw Output = 211
16:35:40.590 -> Photoresistor Raw Output = 217
16:35:40.630 -> Photoresistor Raw Output = 221
16:35:40.710 -> Photoresistor Raw Output = 223
16:35:40.750 -> Photoresistor Raw Output = 223
16:35:40.790 -> Photoresistor Raw Output = 222
16:35:40.830 -> Photoresistor Raw Output = 216
16:35:40.910 -> Photoresistor Raw Output = 192
16:35:40.950 -> Photoresistor Raw Output = 180
16:35:40.990 -> Photoresistor Raw Output = 175
16:35:41.030 -> Photoresistor Raw Output = 170
16:35:41.110 -> Photoresistor Raw Output = 166
16:35:41.150 -> Photoresistor Raw Output = 161
16:35:41.191 -> Photoresistor Raw Output = 152
16:35:41.230 -> Photoresistor Raw Output = 143
16:35:41.311 -> Photoresistor Raw Output = 126
16:35:41.350 -> Photoresistor Raw Output = 127
16:35:41.391 -> Photoresistor Raw Output = 139
16:35:41.430 -> Photoresistor Raw Output = 141
16:35:41.511 -> Photoresistor Raw Output = 135
16:35:41.551 -> Photoresistor Raw Output = 136
16:35:41.591 -> Photoresistor Raw Output = 142
16:35:41.630 -> Photoresistor Raw Output = 146
16:35:41.710 -> Photoresistor Raw Output = 149
16:35:41.750 -> Photoresistor Raw Output = 147
16:35:41.791 -> Photoresistor Raw Output = 146
16:35:41.871 -> Photoresistor Raw Output = 142
16:35:41.911 -> Photoresistor Raw Output = 132
16:35:41.951 -> Photoresistor Raw Output = 125
16:35:41.991 -> Photoresistor Raw Output = 118
16:35:42.071 -> Photoresistor Raw Output = 112
16:35:42.111 -> Photoresistor Raw Output = 109
16:35:42.150 -> Photoresistor Raw Output = 96
16:35:42.191 -> Photoresistor Raw Output = 88
16:35:42.271 -> Photoresistor Raw Output = 73
16:35:42.311 -> Photoresistor Raw Output = 60
16:35:42.351 -> Photoresistor Raw Output = 50
16:35:42.391 -> Photoresistor Raw Output = 49
16:35:42.471 -> Photoresistor Raw Output = 52
16:35:42.511 -> Photoresistor Raw Output = 59
16:35:42.551 -> Photoresistor Raw Output = 55
16:35:42.591 -> Photoresistor Raw Output = 55
16:35:42.671 -> Photoresistor Raw Output = 54
16:35:42.711 -> Photoresistor Raw Output = 40
16:35:42.751 -> Photoresistor Raw Output = 32
16:35:42.831 -> Photoresistor Raw Output = 29
16:35:42.871 -> Photoresistor Raw Output = 26
16:35:42.911 -> Photoresistor Raw Output = 26
16:35:42.951 -> Photoresistor Raw Output = 29
16:35:43.031 -> Photoresistor Raw Output = 37
16:35:43.071 -> Photoresistor Raw Output = 45
16:35:43.111 -> Photoresistor Raw Output = 48
16:35:43.151 -> Photoresistor Raw Output = 52
16:35:43.231 -> Photoresistor Raw Output = 54
16:35:43.271 -> Photoresistor Raw Output = 56
16:35:43.311 -> Photoresistor Raw Output = 59
16:35:43.351 -> Photoresistor Raw Output = 61
16:35:43.431 -> Photoresistor Raw Output = 59
16:35:43.471 -> Photoresistor Raw Output = 56
16:35:43.511 -> Photoresistor Raw Output = 53
16:35:43.551 -> Photoresistor Raw Output = 50
16:35:43.631 -> Photoresistor Raw Output = 50
16:35:43.671 -> Photoresistor Raw Output = 51
16:35:43.711 -> Photoresistor Raw Output = 50
16:35:43.792 -> Photoresistor Raw Output = 47
16:35:43.826 -> Photoresistor Raw Output = 40
16:35:43.866 -> Photoresistor Raw Output = 32
16:35:43.906 -> Photoresistor Raw Output = 28
16:35:43.986 -> Photoresistor Raw Output = 26
16:35:44.026 -> Photoresistor Raw Output = 21
16:35:44.066 -> Photoresistor Raw Output = 19
16:35:44.106 -> Photoresistor Raw Output = 19
16:35:44.186 -> Photoresistor Raw Output = 20
16:35:44.226 -> Photoresistor Raw Output = 20
16:35:44.266 -> Photoresistor Raw Output = 20
16:35:44.306 -> Photoresistor Raw Output = 18
16:35:44.386 -> Photoresistor Raw Output = 16
16:35:44.426 -> Photoresistor Raw Output = 14
16:35:44.466 -> Photoresistor Raw Output = 12
16:35:44.546 -> Photoresistor Raw Output = 12
16:35:44.586 -> Photoresistor Raw Output = 13
16:35:44.626 -> Photoresistor Raw Output = 14
16:35:44.666 -> Photoresistor Raw Output = 15
16:35:44.746 -> Photoresistor Raw Output = 16
16:35:44.786 -> Photoresistor Raw Output = 17
16:35:44.826 -> Photoresistor Raw Output = 18
16:35:44.866 -> Photoresistor Raw Output = 20
16:35:44.946 -> Photoresistor Raw Output = 22
16:35:44.986 -> Photoresistor Raw Output = 23
16:35:45.026 -> Photoresistor Raw Output = 23
