11:53:07.172 -> X:  -112  	Y:  1296  	Z:  15776		X: -0.06 	Y: 0.74 	Z: 9.41 m/s^2 
11:53:07.449 -> X:  -96  	Y:  1296  	Z:  15648		X: -0.06 	Y: 0.78 	Z: 9.37 m/s^2 
11:53:07.691 -> X:  -112  	Y:  1184  	Z:  15648		X: -0.07 	Y: 0.71 	Z: 9.37 m/s^2 
11:53:07.966 -> X:  -176  	Y:  1312  	Z:  15648		X: -0.11 	Y: 0.79 	Z: 9.37 m/s^2 
11:53:08.204 -> X:  -128  	Y:  1152  	Z:  15616		X: -0.08 	Y: 0.69 	Z: 9.35 m/s^2 
11:53:08.478 -> X:  -128  	Y:  1168  	Z:  15632		X: -0.08 	Y: 0.70 	Z: 9.36 m/s^2 
11:53:08.716 -> X:  -64  	Y:  1152  	Z:  15664		X: -0.14 	Y: 0.68 	Z: 9.30 m/s^2 
11:53:08.990 -> X:  -192  	Y:  1184  	Z:  15664		X: -0.11 	Y: 0.71 	Z: 9.38 m/s^2 
11:53:09.228 -> X:  -96  	Y:  1264  	Z:  15648		X: -0.06 	Y: 0.76 	Z: 9.37 m/s^2 
11:53:09.468 -> X:  -96  	Y:  1168  	Z:  15664		X: -0.06 	Y: 0.70 	Z: 9.38 m/s^2 
11:53:09.744 -> X:  -96  	Y:  1280  	Z:  15696		X: -0.06 	Y: 0.77 	Z: 9.40 m/s^2 
11:53:09.985 -> X:  -96  	Y:  1232  	Z:  15616		X: -0.06 	Y: 0.74 	Z: 9.35 m/s^2 
11:53:10.261 -> X:  -112  	Y:  1232  	Z:  15664		X: -0.07 	Y: 0.74 	Z: 9.38 m/s^2 
11:53:10.502 -> X:  -128  	Y:  1232  	Z:  15648		X: -0.08 	Y: 0.74 	Z: 9.37 m/s^2 
11:53:10.773 -> X:  -80  	Y:  1152  	Z:  15664		X: -0.05 	Y: 0.69 	Z: 9.38 m/s^2 
11:53:11.017 -> X:  -176  	Y:  1152  	Z:  15648		X: -0.11 	Y: 0.69 	Z: 9.37 m/s^2 
11:53:11.256 -> X:  -160  	Y:  1200  	Z:  15680		X: -0.10 	Y: 0.72 	Z: 9.39 m/s^2 
11:53:11.532 -> X:  -160  	Y:  1184  	Z:  15600		X: -0.10 	Y: 0.71 	Z: 9.34 m/s^2 
11:53:11.769 -> X:  -80  	Y:  1184  	Z:  15664		X: -0.05 	Y: 0.71 	Z: 9.38 m/s^2 
11:53:12.044 -> X:  -144  	Y:  1184  	Z:  15648		X: -0.09 	Y: 0.71 	Z: 9.37 m/s^2 
11:53:12.285 -> X:  -96  	Y:  1168  	Z:  15632		X: -0.06 	Y: 0.70 	Z: 9.36 m/s^2 
11:53:12.559 -> X:  -128  	Y:  1200  	Z:  15648		X: -0.08 	Y: 0.72 	Z: 9.37 m/s^2 
11:53:12.798 -> X:  -96  	Y:  1200  	Z:  15664		X: -0.06 	Y: 0.72 	Z: 9.38 m/s^2 
11:53:13.038 -> X:  -144  	Y:  1264  	Z:  15664		X: -0.05 	Y: 0.70 	Z: 9.37 m/s^2 
11:53:13.310 -> X:  -80  	Y:  1184  	Z:  15680		X: -0.05 	Y: 0.71 	Z: 9.39 m/s^2 
11:53:13.550 -> X:  -128  	Y:  1200  	Z:  15696		X: -0.08 	Y: 0.72 	Z: 9.40 m/s^2 
11:53:13.823 -> X:  -112  	Y:  1248  	Z:  15648		X: -0.07 	Y: 0.75 	Z: 9.37 m/s^2 
11:53:14.065 -> X:  -96  	Y:  1232  	Z:  15536		X: -0.06 	Y: 0.74 	Z: 9.30 m/s^2 
11:53:14.337 -> X:  -112  	Y:  1264  	Z:  15600		X: -0.07 	Y: 0.76 	Z: 9.34 m/s^2 
11:53:14.575 -> X:  -144  	Y:  1248  	Z:  15664		X: -0.09 	Y: 0.75 	Z: 9.38 m/s^2 
11:53:14.850 -> X:  -128  	Y:  1248  	Z:  15616		X: -0.08 	Y: 0.75 	Z: 9.35 m/s^2 
11:53:15.090 -> X:  -112  	Y:  1232  	Z:  15696		X: -0.07 	Y: 0.74 	Z: 9.40 m/s^2 
11:53:15.364 -> X:  -80  	Y:  1168  	Z:  15648		X: -0.05 	Y: 0.70 	Z: 9.37 m/s^2 
11:53:15.604 -> X:  -144  	Y:  1216  	Z:  15600		X: -0.09 	Y: 0.73 	Z: 9.34 m/s^2 
11:53:15.879 -> X:  -144  	Y:  1168  	Z:  15728		X: -0.09 	Y: 0.70 	Z: 9.42 m/s^2 
11:53:16.120 -> X:  -144  	Y:  1184  	Z:  15664		X: -0.09 	Y: 0.71 	Z: 9.38 m/s^2 
11:53:16.361 -> X:  -96  	Y:  1184  	Z:  15632		X: -0.06 	Y: 0.71 	Z: 9.36 m/s^2 
11:53:16.634 -> X:  -112  	Y:  1152  	Z:  15632		X: -0.07 	Y: 0.69 	Z: 9.36 m/s^2 
11:53:16.870 -> X:  -112  	Y:  1232  	Z:  16016		X: -0.07 	Y: 0.74 	Z: 9.59 m/s^2 
11:53:17.143 -> X:  -64  	Y:  1216  	Z:  15696		X: -0.04 	Y: 0.73 	Z: 9.40 m/s^2 
11:53:17.387 -> X:  -96  	Y:  1120  	Z:  15664		X: -0.21 	Y: 0.71 	Z: 9.33 m/s^2 
11:53:17.658 -> X:  -128  	Y:  1200  	Z:  15632		X: -0.08 	Y: 0.72 	Z: 9.36 m/s^2 
11:53:17.897 -> X:  -160  	Y:  1232  	Z:  15664		X: -0.10 	Y: 0.74 	Z: 9.38 m/s^2 
11:53:18.172 -> X:  -80  	Y:  1216  	Z:  15632		X: -0.05 	Y: 0.73 	Z: 9.36 m/s^2 
11:53:18.415 -> X:  -80  	Y:  1248  	Z:  15712		X: -0.05 	Y: 0.75 	Z: 9.41 m/s^2 
11:53:18.654 -> X:  -160  	Y:  1184  	Z:  15680		X: -0.10 	Y: 0.71 	Z: 9.39 m/s^2 
11:53:18.928 -> X:  -160  	Y:  1120  	Z:  15696		X: -0.10 	Y: 0.67 	Z: 9.40 m/s^2 
11:53:19.166 -> X:  -112  	Y:  1264  	Z:  15664		X: -0.07 	Y: 0.76 	Z: 9.38 m/s^2 
11:53:19.439 -> X:  -144  	Y:  1200  	Z:  15648		X: -0.09 	Y: 0.72 	Z: 9.37 m/s^2 
11:53:19.676 -> X:  -144  	Y:  1232  	Z:  15680		X: -0.09 	Y: 0.74 	Z: 9.39 m/s^2 
11:53:19.947 -> X:  -208  	Y:  1216  	Z:  15616		X: -0.12 	Y: 0.73 	Z: 9.35 m/s^2 
11:53:20.185 -> X:  -144  	Y:  1232  	Z:  15680		X: -0.09 	Y: 0.74 	Z: 9.39 m/s^2 
11:53:20.460 -> X:  -80  	Y:  1168  	Z:  15680		X: -0.05 	Y: 0.70 	Z: 9.39 m/s^2 
11:53:20.698 -> X:  -128  	Y:  1168  	Z:  15632		X: -0.08 	Y: 0.70 	Z: 9.36 m/s^2 
11:53:20.971 -> X:  -160  	Y:  1184  	Z:  15632		X: -0.10 	Y: 0.71 	Z: 9.36 m/s^2 
11:53:21.208 -> X:  -64  	Y:  1216  	Z:  15120		X: -0.11 	Y: 0.75 	Z: 9.05 m/s^2 
11:53:21.483 -> X:  -80  	Y:  1232  	Z:  15616		X: -0.05 	Y: 0.74 	Z: 9.35 m/s^2 
11:53:21.723 -> X:  -128  	Y:  1280  	Z:  15728		X: -0.08 	Y: 0.77 	Z: 9.42 m/s^2 
11:53:21.998 -> X:  -176  	Y:  1248  	Z:  15712		X: -0.07 	Y: 0.75 	Z: 9.41 m/s^2 
11:53:22.239 -> X:  -144  	Y:  1264  	Z:  15680		X: -0.09 	Y: 0.76 	Z: 9.39 m/s^2 
11:53:22.512 -> X:  -96  	Y:  1184  	Z:  15600		X: -0.06 	Y: 0.71 	Z: 9.34 m/s^2 
11:53:22.751 -> X:  -144  	Y:  1168  	Z:  15696		X: -0.09 	Y: 0.70 	Z: 9.40 m/s^2 
11:53:23.022 -> X:  -112  	Y:  1264  	Z:  15632		X: -0.07 	Y: 0.76 	Z: 9.36 m/s^2 
11:53:23.263 -> X:  -128  	Y:  1280  	Z:  15632		X: -0.08 	Y: 0.77 	Z: 9.36 m/s^2 
11:53:23.503 -> X:  -80  	Y:  1264  	Z:  15680		X: -0.05 	Y: 0.76 	Z: 9.39 m/s^2 
11:53:23.780 -> X:  -96  	Y:  1152  	Z:  15744		X: -0.06 	Y: 0.69 	Z: 9.43 m/s^2 
11:53:24.017 -> X:  -128  	Y:  1264  	Z:  15744		X: -0.08 	Y: 0.76 	Z: 9.43 m/s^2 
11:53:24.290 -> X:  -112  	Y:  1216  	Z:  15680		X: -0.07 	Y: 0.73 	Z: 9.39 m/s^2 
11:53:24.529 -> X:  -144  	Y:  1200  	Z:  15632		X: -0.09 	Y: 0.72 	Z: 9.36 m/s^2 
11:53:24.801 -> X:  -80  	Y:  1200  	Z:  15552		X: -0.05 	Y: 0.72 	Z: 9.31 m/s^2 
11:53:25.040 -> X:  -144  	Y:  1264  	Z:  15664		X: -0.09 	Y: 0.76 	Z: 9.38 m/s^2 
11:53:25.316 -> X:  -80  	Y:  1216  	Z:  15616		X: -0.05 	Y: 0.73 	Z: 9.35 m/s^2 
11:53:25.554 -> X:  -128  	Y:  1152  	Z:  15712		X: -0.23 	Y: 0.75 	Z: 9.70 m/s^2 
11:53:25.830 -> X:  -80  	Y:  1232  	Z:  15648		X: -0.05 	Y: 0.74 	Z: 9.37 m/s^2 
11:53:26.068 -> X:  -160  	Y:  1280  	Z:  15680		X: -0.10 	Y: 0.77 	Z: 9.39 m/s^2 
11:53:26.308 -> X:  -160  	Y:  1184  	Z:  15680		X: -0.05 	Y: 0.71 	Z: 9.39 m/s^2 
11:53:26.583 -> X:  -144  	Y:  1248  	Z:  15712		X: -0.09 	Y: 0.75 	Z: 9.41 m/s^2 
11:53:26.824 -> X:  -96  	Y:  1200  	Z:  15696		X: -0.06 	Y: 0.72 	Z: 9.40 m/s^2 
11:53:27.098 -> X:  -144  	Y:  1184  	Z:  15648		X: -0.09 	Y: 0.71 	Z: 9.37 m/s^2 
11:53:27.341 -> X:  -96  	Y:  1184  	Z:  15680		X: -0.06 	Y: 0.71 	Z: 9.39 m/s^2 
11:53:27.618 -> X:  -160  	Y:  1216  	Z:  15648		X: -0.10 	Y: 0.73 	Z: 9.37 m/s^2 
11:53:27.861 -> X:  -128  	Y:  1184  	Z:  15680		X: -0.08 	Y: 0.71 	Z: 9.39 m/s^2 
11:53:28.102 -> X:  -112  	Y:  1184  	Z:  15648		X: -0.07 	Y: 0.71 	Z: 9.37 m/s^2 
11:53:28.377 -> X:  -96  	Y:  1184  	Z:  15664		X: -0.06 	Y: 0.71 	Z: 9.38 m/s^2 
11:53:28.618 -> X:  -144  	Y:  1152  	Z:  15632		X: -0.09 	Y: 0.69 	Z: 9.36 m/s^2 
11:53:28.889 -> X:  -144  	Y:  1216  	Z:  15616		X: -0.09 	Y: 0.73 	Z: 9.35 m/s^2 
11:53:29.131 -> X:  -80  	Y:  1168  	Z:  15728		X: -0.05 	Y: 0.70 	Z: 9.42 m/s^2 
11:53:29.371 -> X:  -208  	Y:  1168  	Z:  15584		X: -0.12 	Y: 0.70 	Z: 9.33 m/s^2 
